course_url,image_url,desc,duration,by,title,id
https://www.udemy.com/course/testerbootcamp/,https://img-b.udemycdn.com/course/240x135/2125112_86f5_8.jpg,Everything you need to learn about software testing and begin your career as a Quality Assurance Specialist,30.5 total hours,"Tarek Roshdy, Nezam Academy, Nezam Team",The Complete 2024 Software Testing Bootcamp,c00080
https://www.udemy.com/course/microsoft-sql-for-beginners/,https://img-b.udemycdn.com/course/240x135/459948_7533_2.jpg,A comprehensive course to teach you how to complete SQL queries using Microsoft SQL Server and the T-SQL language.,4 total hours,Brewster Knowlton,Microsoft SQL for Beginners,c00081
https://www.udemy.com/course/ethereum-and-solidity-the-complete-developers-guide/,https://img-b.udemycdn.com/course/240x135/1466612_bead_3.jpg,"Use Ethereum, Solidity, and Smart Contracts to build production-ready apps based on the blockchain",24 total hours,Stephen Grider,Ethereum and Solidity: The Complete Developer's Guide,c00082
https://www.udemy.com/course/modern-html-css-from-the-beginning/,https://img-b.udemycdn.com/course/240x135/2153774_bef0_4.jpg,"Build modern responsive websites & UIs with HTML5, CSS3 & Sass! Learn Flex & CSS Grid",21 total hours,Brad Traversy,Modern HTML & CSS From The Beginning (Including Sass),c00083
https://www.udemy.com/course/js-algorithms-and-data-structures-masterclass/,https://img-b.udemycdn.com/course/240x135/1406344_1d65_3.jpg,The Missing Computer Science and Coding Interview Bootcamp,22 total hours,Colt Steele,JavaScript Algorithms and Data Structures Masterclass,c00084
https://www.udemy.com/course/html-css-more/,https://img-b.udemycdn.com/course/240x135/505208_2307_5.jpg,"Build a coding foundation as an entrepreneur, where I’ll take you through the entire process of coding your own website",5.5 total hours,"Andrew Eddy, Margot Dukes",Responsive Web Design: HTML5 + CSS3 for Entrepreneurs 2018,c00085
https://www.udemy.com/course/cpp-deep-dive/,https://img-b.udemycdn.com/course/240x135/1672380_0d86_4.jpg,"Classroom and Hands-on sessions- Features of C++ 11 , Exception Handling and STL -  for Both Academics and Industry",30.5 total hours,Abdul Bari,Learn C++ Programming -Beginner to Advance- Deep Dive in C++,c00086
https://www.udemy.com/course/php-for-complete-beginners-includes-msql-object-oriented/,https://img-b.udemycdn.com/course/240x135/405282_27d2_3.jpg,PHP for Beginners: learn everything you need to become a professional PHP developer with practical exercises & projects.,37 total hours,"Edwin Diaz, Coding Faculty Solutions",PHP for Beginners - Become a PHP Master - CMS Project,c00087
https://www.udemy.com/course/python-core-and-advanced/,https://img-b.udemycdn.com/course/240x135/1386294_cf10_3.jpg,Master the fundamentals of Python while working on various usecases in easy steps,15 total hours,Bharath Thippireddy,Python for beginners,c00088
https://www.udemy.com/course/angular-2-and-nodejs-the-practical-guide/,https://img-b.udemycdn.com/course/240x135/833442_b26e_5.jpg,Learn how to connect your Angular Frontend to a NodeJS &amp; Express &amp; MongoDB Backend by building a real Application,12.5 total hours,Maximilian Schwarzmüller,Angular & NodeJS - The MEAN Stack Guide [2024 Edition],c00089
https://www.udemy.com/course/docker-kubernetes-the-practical-guide/,https://img-b.udemycdn.com/course/240x135/3490000_d298_2.jpg,"Learn Docker, Docker Compose, Multi-Container Projects, Deployment and all about Kubernetes from the ground up!",23.5 total hours,"Academind by Maximilian Schwarzmüller, Maximilian Schwarzmüller",Docker & Kubernetes: The Practical Guide [2024 Edition],c00090
https://www.udemy.com/course/python-complete/,https://img-b.udemycdn.com/course/240x135/882826_4687_3.jpg,"Learn Python with projects covering game & web development, web scraping, MongoDB, Django, PyQt, and data visualization!",18 total hours,"Joseph Delgadillo, Nick Germaine",The Complete Python Programming Course: Beginner to Advanced,c00091
